Time [s],input,useful,fir_out,iir_out
1.270000000000000018e-01,4.219465994041834422e-01,-2.311577759884620997e-01,-6.709020950455094057e-02,-1.259479874882770134e-01
1.280000000000000027e-01,-1.136333933666217932e+00,-3.049686555589596892e-01,-7.698949722849325605e-02,1.937221930584766827e-01
1.290000000000000036e-01,-2.591040574678702413e-01,-6.412353639263913552e-01,-8.942074358548958435e-02,-1.737373005454128094e-01
1.300000000000000044e-01,-1.508507228276296352e+00,-9.992349288972028898e-01,-9.190277335668975423e-02,-5.481682435968772138e-01
1.310000000000000053e-01,-2.035944285096166428e+00,-1.113380367075155419e+00,-8.487754307264548659e-02,-9.904934162904718287e-01
1.320000000000000062e-01,1.257516545417121379e-01,-8.397194350162728860e-01,-8.277950566507751018e-02,-1.025013032481386421e+00
1.330000000000000071e-01,-8.503192080526040808e-01,-2.368734405447140423e-01,-9.459635639591200407e-02,-3.120064296475042465e-01
1.340000000000000080e-01,-1.207584594470992867e-01,4.625608054354990450e-01,-1.091400692745335549e-01,1.718836208726169934e-01
1.350000000000000089e-01,2.301402545241994169e+00,9.747565557815498494e-01,-1.102563325523747001e-01,7.947299990837047856e-01
1.360000000000000098e-01,8.566033946144875344e-01,1.115132610827928916e+00,-1.000855756422125570e-01,1.703463415914901802e+00
1.370000000000000107e-01,1.095643720415062417e+00,8.951111766279666870e-01,-9.704092603323151434e-02,1.758407151041975869e+00
1.380000000000000115e-01,1.025780722066949702e+00,5.128260558965194171e-01,-1.112958753549126156e-01,1.290833622862403107e+00
1.390000000000000124e-01,-1.019279595111389103e+00,2.429277433176498802e-01,-1.280315756557880158e-01,6.403835125642129977e-01
1.400000000000000133e-01,6.644121891639063193e-01,2.853169548885449158e-01,-1.261267734239442939e-01,-4.238056538767182024e-02
1.409999999999999865e-01,9.478650905832062268e-01,6.548871294432625501e-01,-1.104775952019093482e-01,1.508202992278179222e-01
1.419999999999999873e-01,4.339953212281508210e-01,1.172109649443652035e+00,-1.077941099625094601e-01,6.717652920301278030e-01
1.429999999999999882e-01,1.861099612393186664e+00,1.559612708980036455e+00,-1.287972763828852396e-01,9.048936176784101448e-01
1.439999999999999891e-01,1.825432226719033491e+00,1.592428127976106556e+00,-1.479798528987787409e-01,1.278695090749176755e+00
1.449999999999999900e-01,8.086249372926490597e-01,1.220466670979696744e+00,-1.359384217190056920e-01,1.335227402093980498e+00
1.459999999999999909e-01,1.454376426585936688e+00,5.968138424336894010e-01,-1.090822255317597800e-01,8.978409186931888275e-01
1.469999999999999918e-01,3.815421640910153789e-01,-3.532474964042631171e-03,-1.198302130876007093e-01,4.939053106777480662e-01
1.479999999999999927e-01,-1.098712035210023030e+00,-3.304941572151075535e-01,-1.750002255143952024e-01,-2.140509427882835158e-01
1.489999999999999936e-01,4.032711441694082355e-01,-2.918016595643612154e-01,-1.791486682419684284e-01,-8.965998603359993657e-01
1.499999999999999944e-01,-2.739770030181662985e-01,-8.378812436459613282e-15,1.040371965488201544e-03,-7.975477024318757824e-01
1.509999999999999953e-01,-4.151778753513474807e-01,2.918016595643513345e-01,3.860993445421630477e-01,-5.968224794043287540e-01
1.519999999999999962e-01,1.065106083616135679e+00,3.304941572151145479e-01,7.990937587171076384e-01,-4.107289498154881313e-01
1.529999999999999971e-01,-4.567393333129011745e-01,3.532474964067167100e-03,9.703367988192876936e-01,-1.062984443270445917e-01
1.539999999999999980e-01,-8.547383273335458220e-01,-5.968138424336567605e-01,7.682175432032686269e-01,-4.223315081466497700e-01
1.549999999999999989e-01,-7.770870196345773806e-01,-1.220466670979670321e+00,3.433292197024122583e-01,-1.010813517545336104e+00
1.559999999999999998e-01,-2.176011073885792513e+00,-1.592428127976097674e+00,4.012404946338716388e-02,-1.421855612001351243e+00
1.570000000000000007e-01,-2.370045758119445178e+00,-1.559612708980043561e+00,1.373802601326590822e-01,-1.939446060085005197e+00
1.580000000000000016e-01,-2.870598103446051486e-01,-1.172109649443676904e+00,6.322678790794412640e-01,-1.849847763029914827e+00
1.590000000000000024e-01,-1.116449356406697513e+00,-6.548871294432866419e-01,1.239755728620155706e+00,-9.642498619817346794e-01
1.600000000000000033e-01,-1.299938640915742905e-01,-2.853169548885475804e-01,1.591588344626445606e+00,-3.069865641836441172e-01
1.610000000000000042e-01,1.133807504120712517e+00,-2.429277433176484369e-01,1.469108200183144142e+00,2.785986342399996429e-01
1.620000000000000051e-01,-1.038723505492233024e+00,-5.128260558965080929e-01,9.192914483957010940e-01,6.271614909490322853e-01
1.630000000000000060e-01,-8.833952533630884396e-01,-8.951111766279626902e-01,2.063184442582712830e-01,3.501012561743453017e-02
