Frequency [Hz],FIR,IIR
3.772893772893772990e+01,-5.586451983538327911e-04,-2.414449965591025649e-02
3.785103785103785157e+01,-4.716224181542207679e-04,-2.391394892458293536e-02
3.797313797313797323e+01,-3.813287291596239616e-04,-2.368815215348830591e-02
3.809523809523809490e+01,-2.891178940818454283e-04,-2.346702921662512445e-02
3.821733821733821657e+01,-1.963201191406089901e-04,-2.325050183005427165e-02
3.833943833943833823e+01,-1.042236012847486300e-04,-2.303849350611265542e-02
3.846153846153845990e+01,-1.405730408494826785e-05,-2.283092950808049068e-02
3.858363858363858157e+01,7.302481602954050068e-05,-2.262773680740472193e-02
3.870573870573870323e+01,1.559579402227589950e-04,-2.242884404082420152e-02
3.882783882783882490e+01,2.337787111924118436e-04,-2.223418147030574790e-02
3.894993894993894656e+01,3.056356195233554240e-04,-2.204368094258393751e-02
3.907203907203906823e+01,3.707973545477146675e-04,-2.185727584992405714e-02
3.919413919413918990e+01,4.286590554781366958e-04,-2.167490109326250525e-02
3.931623931623931156e+01,4.787464325206450049e-04,-2.149649304514911208e-02
3.943833943833944033e+01,5.207177610501543966e-04,-2.132198951385658875e-02
3.956043956043956200e+01,5.543637848011537424e-04,-2.115132970904388954e-02
3.968253968253968367e+01,5.796055948369940782e-04,-2.098445420768788039e-02
3.980463980463980533e+01,5.964905808285342250e-04,-2.082130492163103072e-02
3.992673992673992700e+01,6.051865782016261882e-04,-2.066182506530802460e-02
4.004884004884004867e+01,6.059743593884180145e-04,-2.050595912430584061e-02
4.017094017094017033e+01,5.992386391538696800e-04,-2.035365282617380284e-02
4.029304029304029200e+01,5.854577824934234119e-04,-2.020485310990539213e-02
4.041514041514041367e+01,5.651924186360279215e-04,-2.005950809804084300e-02
4.053724053724053533e+01,5.390731767822659571e-04,-1.991756706817982697e-02
4.065934065934065700e+01,5.077877666013338401e-04,-1.977898042613743940e-02
4.078144078144077866e+01,4.720676311686125516e-04,-1.964369967989910634e-02
4.090354090354090033e+01,4.326744005696036080e-04,-1.951167741287383045e-02
4.102564102564102200e+01,3.903863712945785779e-04,-1.938286725995481963e-02
4.114774114774114366e+01,3.459852301090873177e-04,-1.925722388247632158e-02
4.126984126984126533e+01,3.002432311799028085e-04,-1.913470294445952791e-02
4.139194139194139410e+01,2.539110223178236438e-04,-1.901526109012269608e-02
4.151404151404151577e+01,2.077063003594906902e-04,-1.889885592027483810e-02
4.163614163614163743e+01,1.623034574856161295e-04,-1.878544597163711929e-02
4.175824175824175910e+01,1.183243594528252124e-04,-1.867499069434441772e-02
4.188034188034188077e+01,7.633037471366737161e-05,-1.856745043196118133e-02
4.200244200244200243e+01,3.681574927156617064e-05,-1.846278640051660092e-02
4.212454212454212410e+01,2.023974976576690824e-07,-1.836096066958655890e-02
4.224664224664224577e+01,-3.316384651767470418e-05,-1.826193614213143801e-02
4.236874236874236743e+01,-6.301549799016542693e-05,-1.816567653646316421e-02
4.249084249084248910e+01,-8.916421716912128407e-05,-1.807214636743140548e-02
4.261294261294261077e+01,-1.115001631176897788e-04,-1.798131092901654807e-02
4.273504273504273243e+01,-1.299899602493360246e-04,-1.789313627695591352e-02
4.285714285714285410e+01,-1.446733550534789971e-04,-1.780758921133734213e-02
4.297924297924297576e+01,-1.556586608136202197e-04,-1.772463726080744650e-02
4.310134310134309743e+01,-1.631171068548730981e-04,-1.764424866587024215e-02
4.322344322344321910e+01,-1.672762249619062563e-04,-1.756639236383675945e-02
4.334554334554334076e+01,-1.684124193599857017e-04,-1.749103797276698596e-02
4.346764346764346953e+01,-1.668428778514522283e-04,-1.741815577732612821e-02
4.358974358974359120e+01,-1.629169892856346231e-04,-1.734771671385417283e-02
4.371184371184371287e+01,-1.570074384169452676e-04,-1.727969235616075641e-02
4.383394383394383453e+01,-1.495011505975049702e-04,-1.721405490220854345e-02
4.395604395604395620e+01,-1.407902586520052353e-04,-1.715077715981223536e-02
4.407814407814407787e+01,-1.312632599288560879e-04,-1.708983253430020402e-02
4.420024420024419953e+01,-1.212965254619172086e-04,-1.703119501510739348e-02
4.432234432234432120e+01,-1.112463134885411005e-04,-1.697483916371791621e-02
4.444444444444444287e+01,-1.014414282320931981e-04,-1.692074010112804353e-02
4.456654456654456453e+01,-9.217665066292324598e-05,-1.686887349628463789e-02
4.468864468864468620e+01,-8.370705204494915074e-05,-1.681921555407179386e-02
4.481074481074480786e+01,-7.624328343609807314e-05,-1.677174300435374868e-02
