Sample,FIR,IIR
1.640000000000000000e+02,-3.837399515868300526e-02,-3.626218432833354101e-05
1.650000000000000000e+02,-1.678141922614799844e-02,-3.243261658022259235e-05
1.660000000000000000e+02,2.068977065419236490e-03,-2.880609932006709546e-05
1.670000000000000000e+02,-5.246468804630766321e-03,-2.537907211471562266e-05
1.680000000000000000e+02,-2.554263785533303702e-02,-2.214752342736292195e-05
1.690000000000000000e+02,-3.037743686477687582e-02,-1.910704413092597639e-05
1.700000000000000000e+02,-1.453462290006616621e-02,-1.625287797389109507e-05
1.710000000000000000e+02,-2.540324943432435418e-04,-1.357996906704692745e-05
1.720000000000000000e+02,-5.434101368511665836e-03,-1.108300646495882961e-05
1.730000000000000000e+02,-2.072063902326911136e-02,-8.756465920738707573e-06
1.740000000000000000e+02,-2.437974404472641188e-02,-6.594648896666959519e-06
1.750000000000000000e+02,-1.194776420027544167e-02,-4.591718916573376954e-06
1.760000000000000000e+02,-5.367847386442953618e-04,-2.741735348624511726e-06
1.770000000000000000e+02,-4.425417163180784055e-03,-1.038684709337769439e-06
1.780000000000000000e+02,-1.647717584087209780e-02,5.234904187127347273e-07
1.790000000000000000e+02,-1.933694045326080080e-02,1.950864761877971884e-06
1.800000000000000000e+02,-9.204539179081420996e-03,3.249505928779343035e-06
1.810000000000000000e+02,1.980541770934434777e-04,4.425452087406192710e-06
1.820000000000000000e+02,-2.839890099689182119e-03,5.484691651448771264e-06
1.830000000000000000e+02,-1.263151608430318658e-02,6.433144881793706231e-06
1.840000000000000000e+02,-1.492965365079368736e-02,7.276647309870556229e-06
1.850000000000000000e+02,-6.488352126894436113e-03,8.020934890587399431e-06
1.860000000000000000e+02,1.397333859940255892e-03,8.671630793902174275e-06
1.870000000000000000e+02,-1.055072084370915417e-03,9.234233745617760977e-06
1.880000000000000000e+02,-9.185397760533980938e-03,9.714107829736718985e-06
1.890000000000000000e+02,-1.108358161812035732e-02,1.011647366664235804e-05
1.900000000000000000e+02,-3.965554319522509620e-03,1.044640088346323170e-05
1.910000000000000000e+02,2.709767405272602448e-03,1.070880179520700015e-05
1.920000000000000000e+02,6.695681544182454942e-04,1.090842621759651973e-05
