Frequency [Hz],Input,FIR out,IIR out
6.550000000000000000e+01,1.650311431990347444e+01,1.497228699707169319e+01,1.645671797079487320e+01
6.575000000000000000e+01,1.274583624431369344e+01,1.295840889670714091e+01,1.270750584882062029e+01
6.600000000000000000e+01,1.666582018173073010e+01,1.705788262429906865e+01,1.663483305673386781e+01
6.625000000000000000e+01,1.934090246461172669e+01,2.021684689607875285e+01,1.931949190606152911e+01
6.650000000000000000e+01,2.203697800452559719e+01,2.189798829616542974e+01,2.200352510683241647e+01
6.675000000000000000e+01,2.248767391653967351e+01,2.325065463740663674e+01,2.246281796529743247e+01
6.700000000000000000e+01,2.249431551740012836e+01,2.327482447137032651e+01,2.247019362780465102e+01
6.725000000000000000e+01,1.946565326898312875e+01,1.977645084020864985e+01,1.943355189581776798e+01
6.750000000000000000e+01,1.384327069091925999e+01,1.502937196967400268e+01,1.381476520564141097e+01
6.775000000000000000e+01,1.394550335111290806e+01,1.780143713985559373e+01,1.396221104324891549e+01
6.800000000000000000e+01,2.323954362352034764e+01,2.318655670878171549e+01,2.320235297776308769e+01
6.825000000000000000e+01,1.850903871569966341e+01,1.842177203845975697e+01,1.847316712344131773e+01
6.850000000000000000e+01,7.477139306637195837e+00,8.842555899362798399e+00,7.449823949419130287e+00
6.875000000000000000e+01,1.595793683955513131e+01,1.679052537441149440e+01,1.592432992056845720e+01
6.900000000000000000e+01,2.125518437768921132e+01,2.005408545045941793e+01,2.120456653842297357e+01
6.925000000000000000e+01,1.766336940335672878e+01,1.479369841857445245e+01,1.759597275506510883e+01
6.950000000000000000e+01,2.070204246530521175e+01,2.021698257222735862e+01,2.065832074744445990e+01
6.975000000000000000e+01,1.464303267366359229e+01,1.663562705441130518e+01,1.462819720351027897e+01
7.000000000000000000e+01,2.140713086497825302e+01,2.130517616196190644e+01,2.136657868622372547e+01
7.025000000000000000e+01,2.027522051051084517e+01,1.960092435238559361e+01,2.022810860702349345e+01
7.050000000000000000e+01,3.340687170229501568e+00,5.309074483091183794e+00,3.283426143142363252e+00
7.075000000000000000e+01,1.662382826893523458e+01,1.681180971070451946e+01,1.658319156138590955e+01
7.100000000000000000e+01,1.371380320035140699e+01,1.676044124181871453e+01,1.370766266090177510e+01
7.125000000000000000e+01,2.175580428953960066e+01,2.198221593774638905e+01,2.171581305131034867e+01
7.150000000000000000e+01,2.292232873646443991e+01,2.166486863499339677e+01,2.286741879925326160e+01
