Frequency [Hz],FIR,IIR
2.826617826617826523e+01,1.500000000000007958e+02,4.124367470481574927e+00
2.838827838827838690e+01,1.500000000000007958e+02,4.095621754504671586e+00
2.851037851037850857e+01,1.500000000000007958e+02,4.067276352836744380e+00
2.863247863247863023e+01,1.500000000000015916e+02,4.039324071543445527e+00
2.875457875457875190e+01,1.500000000000000000e+02,4.011757872672538028e+00
2.887667887667887712e+01,1.499999999999961631e+02,3.984570870632192285e+00
2.899877899877899878e+01,1.500000000000007958e+02,3.957756328327074691e+00
2.912087912087912045e+01,1.500000000000007958e+02,3.931307653656392453e+00
2.924297924297924212e+01,1.500000000000015916e+02,3.905218395627414463e+00
2.936507936507936378e+01,1.500000000000007958e+02,3.879482241322258940e+00
2.948717948717948545e+01,1.499999999999961631e+02,3.854093012201540880e+00
2.960927960927960712e+01,1.500000000000007958e+02,3.829044661022334317e+00
2.973137973137973233e+01,1.500000000000007958e+02,3.804331268456521364e+00
2.985347985347985400e+01,1.500000000000007958e+02,3.779947040254233670e+00
2.997557997557997567e+01,1.500000000000007958e+02,3.755886303959682593e+00
3.009768009768009733e+01,1.499999999999961631e+02,3.732143506074886652e+00
3.021978021978021900e+01,1.500000000000007958e+02,3.708713209237218589e+00
3.034188034188034067e+01,1.500000000000007958e+02,3.685590089305924355e+00
3.046398046398046233e+01,1.500000000000015916e+02,3.662768932838783353e+00
3.058608058608058400e+01,1.500000000000007958e+02,3.640244634162845827e+00
3.070818070818070566e+01,1.500000000000000000e+02,3.618012193111265873e+00
3.083028083028083088e+01,1.499999999999961631e+02,3.596066712277599553e+00
3.095238095238095255e+01,1.500000000000015916e+02,3.574403394725533811e+00
3.107448107448107422e+01,1.500000000000015916e+02,3.553017541461871431e+00
3.119658119658119588e+01,1.499999999999961631e+02,3.531904549282372852e+00
3.131868131868131755e+01,1.500000000000007958e+02,3.511059908352889725e+00
3.144078144078143922e+01,1.500000000000007958e+02,3.490479200268021831e+00
3.156288156288156088e+01,1.500000000000007958e+02,3.470158095491836292e+00
3.168498168498168255e+01,1.500000000000007958e+02,3.450092351722311435e+00
3.180708180708180777e+01,1.499999999999961631e+02,3.430277811646658570e+00
3.192918192918192943e+01,1.500000000000007958e+02,3.410710400824717325e+00
3.205128205128205110e+01,1.500000000000007958e+02,3.391386126131603174e+00
3.217338217338217277e+01,1.500000000000007958e+02,3.372301073496964730e+00
3.229548229548229443e+01,1.500000000000007958e+02,3.353451406367456755e+00
3.241758241758241610e+01,1.499999999999969589e+02,3.334833363722599309e+00
3.253968253968253777e+01,1.500000000000007958e+02,3.316443258473332545e+00
3.266178266178265943e+01,1.500000000000007958e+02,3.298277475737315889e+00
3.278388278388278110e+01,1.500000000000007958e+02,3.280332471155040786e+00
3.290598290598290276e+01,1.500000000000007958e+02,3.262604769246401748e+00
3.302808302808302443e+01,1.500000000000007958e+02,3.245090962063959417e+00
3.315018315018314610e+01,1.499999999999969589e+02,3.227787707345263879e+00
3.327228327228327487e+01,1.499999999999992042e+02,3.210691727335756251e+00
3.339438339438339653e+01,1.500000000000007958e+02,3.193799807067718710e+00
3.351648351648351820e+01,1.500000000000007958e+02,3.177108793208290649e+00
3.363858363858363987e+01,1.500000000000015916e+02,3.160615592466711643e+00
3.376068376068376153e+01,1.499999999999961631e+02,3.144317170377118220e+00
3.388278388278388320e+01,1.500000000000054285e+02,3.128210549971000010e+00
3.400488400488400487e+01,1.499999999999961631e+02,3.112292810438597179e+00
3.412698412698412653e+01,1.500000000000054285e+02,3.096561085991214490e+00
3.424908424908424820e+01,1.499999999999961631e+02,3.081012564594813874e+00
3.437118437118436987e+01,1.500000000000015916e+02,3.065644486720977557e+00
3.449328449328449153e+01,1.499999999999961631e+02,3.050454144334613815e+00
